A84WP,187,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,552.28,7483.52,552.36,30462,0.25,0.22,0.22,7484.62,,
9QZ6P,188,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,548.68,7516.22,548.68,32687,0.26,0.21,0.21,7516.22,,
S4M7L,189,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,555.19,7647.31,555.3,32982,0.26,0.21,0.21,7648.82,,
9J4NS,190,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,581.47,7531.97,581.48,31813,0.24,0.21,0.21,7532.11,,
67NW7,191,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,555.16,7000.71,555.27,31187,0.23,0.2,0.2,7002.18,,
EFW3H,192,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,549.45,8104.01,553.73,28975,0.24,0.23,0.24,8167.08,,
9LH9X,193,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,559.89,8306.95,560.23,28097,0.25,0.24,0.25,8311.95,,
K576K,194,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,550.54,7459.83,550.54,35525,0.25,0.2,0.2,7459.83,,
C27SL,195,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,571.96,7486.45,572.04,36109,0.23,0.19,0.2,7487.41,,
KXY3L,196,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,555.82,7603.5,555.98,28324,0.25,0.22,0.23,7605.75,,
R4JFZ,197,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,684.4,8089.89,684.63,26617,0.29,0.25,0.26,8092.58,,
DN3LG,198,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,559.53,8204.26,559.73,29347,0.3,0.24,0.24,8207.14,,
CZBPY,199,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,557.77,8142.7,557.81,28468,0.25,0.24,0.24,8143.18,,
Y58LT,200,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,556.09,8165.77,556.43,29828,0.23,0.22,0.23,8170.75,,
QGWJE,201,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,517.7,7927.96,517.85,41987,0.2,0.18,0.18,7930.37,,
VV5LU,202,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,525.29,8019.7,525.49,47912,0.18,0.18,0.18,8022.81,,
AT6CG,203,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,513.76,7891.81,517.84,45618,0.17,0.17,0.17,7954.57,,
DVBMA,204,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,532.64,8070.36,532.64,50750,0.19,0.18,0.18,8070.36,,
GTMFP,205,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,519.7,7946.49,519.7,47408,0.2,0.18,0.18,7946.49,,
WKYHG,206,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,219.16,3135.31,230.21,29993,0.1,0.1,0.1,3293.39,,
MRA59,207,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,245.56,3528.13,254.1,36864,0.11,0.1,0.11,3650.8,,
H3M29,208,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,215.35,3103,225.37,45408,0.09,0.09,0.09,3247.46,,
LZLVV,209,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,203.09,2947.56,214.7,21574,0.11,0.11,0.11,3116.05,,
FBRT6,210,113,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,231.67,3314.34,242.26,37218,0.1,0.1,0.1,3465.74,,
E4BHZ,211,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,545.88,7154.44,546.1,31094,0.21,0.2,0.2,7157.3,,
6RTLY,212,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,542.06,7003.37,548.66,29083,0.21,0.2,0.21,7088.61,,
K6DPC,213,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,532.49,6942.45,541.62,30627,0.2,0.19,0.2,7061.5,,
8N2EY,214,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,505.01,6697.78,505.87,31051,0.2,0.19,0.19,6709.11,,
E9GX2,215,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,546.04,6842.56,546.69,30682,0.2,0.2,0.2,6850.76,,
THN46,216,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,483.99,7180.85,484.04,33833,0.23,0.21,0.21,7181.59,,
W9XQB,217,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,493.37,7255.38,493.51,39846,0.23,0.2,0.21,7257.43,,
BPTB7,218,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,490.38,7200.94,490.48,36912,0.21,0.2,0.2,7202.39,,
B8U84,219,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,502.08,7372.75,502.12,34866,0.22,0.21,0.21,7373.31,,
33RYY,220,114,2019-10-25 00:00:00,MH,PLA,Unnamed: 15,484.9,7205.08,484.91,39016,0.22,0.2,0.2,7205.19,,
SL9Y4,221,115,2019-10-28 00:00:00,MH,PLA,Batch No.,541.84,7968.3,542.1,39140,0.2,0.18,0.18,7972.07,,
4TWHA,222,115,2019-10-28 00:00:00,MH,PLA,Batch No.,547.45,8074.52,547.5,36235,0.23,0.22,0.22,8075.17,,
JP5NU,223,115,2019-10-28 00:00:00,MH,PLA,Batch No.,553.74,8203.57,553.74,36301,0.26,0.22,0.22,8203.57,,
H7US6,224,115,2019-10-28 00:00:00,MH,PLA,Batch No.,552.75,8152.59,552.96,35665,0.22,0.21,0.21,8155.81,,
TCATJ,225,115,2019-10-28 00:00:00,MH,PLA,Batch No.,537.94,7981.37,537.99,35776,0.23,0.21,0.21,7982.08,,
QYYPX,226,115,2019-10-28 00:00:00,MH,PLA,Batch No.,519.88,6716.8,525.72,27702,0.23,0.23,0.23,6792.29,,
G75V8,227,115,2019-10-28 00:00:00,MH,PLA,Batch No.,586.7,7822.7,587.19,30222,0.26,0.25,0.25,7829.15,,
MVS4G,228,115,2019-10-28 00:00:00,MH,PLA,Batch No.,535.85,7078.66,544.3,27413,0.23,0.22,0.23,7190.21,,
CK54E,229,115,2019-10-28 00:00:00,MH,PLA,Batch No.,566.3,7195.74,566.6,28776,0.24,0.22,0.23,7199.52,,
NQL7C,230,115,2019-10-28 00:00:00,MH,PLA,Batch No.,558.91,7165.51,558.91,28531,0.25,0.24,0.24,7165.51,,
W43BS,231,115,2019-10-28 00:00:00,MH,PLA,Batch No.,465.06,6568.63,466.18,28392,0.22,0.22,0.22,6584.42,,
XAXJY,232,115,2019-10-28 00:00:00,MH,PLA,Batch No.,471.36,6724.06,475.16,29835,0.21,0.2,0.21,6778.31,,
SSJF7,233,115,2019-10-28 00:00:00,MH,PLA,Batch No.,456.25,6545.9,461.18,28878,0.21,0.21,0.21,6616.61,,
M6NDF,234,115,2019-10-28 00:00:00,MH,PLA,Batch No.,530.45,7928.97,530.72,25861,0.29,0.28,0.28,7932.97,,
74NT8,235,115,2019-10-28 00:00:00,MH,PLA,Batch No.,531.64,7876.22,532.16,24921,0.3,0.29,0.29,7883.88,,
SZCF5,236,115,2019-10-28 00:00:00,MH,PLA,Batch No.,544.21,8086.31,544.21,26238,0.3,0.29,0.29,8086.31,,
XRT9F,237,115,2019-10-28 00:00:00,MH,PLA,Batch No.,426.37,6090.96,428.93,28041,0.19,0.19,0.19,6127.61,,
M4Y5V,238,115,2019-10-28 00:00:00,MH,PLA,Batch No.,438.76,6250.08,439.41,28595,0.21,0.2,0.2,6259.43,,
JCTVB,239,115,2019-10-28 00:00:00,MH,PLA,Batch No.,453.58,6507.59,455.74,29179,0.21,0.2,0.21,6538.56,,
LNJL5,240,115,2019-10-28 00:00:00,MH,PLA,Batch No.,236.99,3185.33,246.32,11762,0.2,0.19,0.2,3310.73,,
RQJZ2,241,115,2019-10-28 00:00:00,MH,PLA,Batch No.,244.49,3414.68,253.7,14206,0.18,0.17,0.18,3543.29,,
7Y7CG,242,115,2019-10-28 00:00:00,MH,PLA,Batch No.,252.05,3790.29,261.5,17300,0.17,0.17,0.17,3932.26,,
JZM8C,243,115,2019-10-28 00:00:00,MH,PLA,Batch No.,251.74,3439.03,261.65,16801,0.16,0.15,0.16,3574.42,,
LH93L,244,115,2019-10-28 00:00:00,MH,PLA,Batch No.,253.88,3531.06,259.88,11781,0.22,0.21,0.22,3614.5,,
3B3QG,245,115,2019-10-28 00:00:00,MH,PLA,Batch No.,436.95,6224.34,440.94,27378,0.21,0.21,0.21,6281.26,,
TTGTM,246,115,2019-10-28 00:00:00,MH,PLA,Batch No.,445.88,6351.51,447.25,28486,0.2,0.2,0.2,6371.09,,
PWH58,247,115,2019-10-28 00:00:00,MH,PLA,Batch No.,441.08,6310.1,444.25,27265,0.2,0.2,0.2,6355.46,,
LG7EN,248,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),454.77,6590.82,454.78,28519,0.23,0.22,0.22,6591,,
BEWQ7,249,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),449.26,6454.85,449.28,29934,0.23,0.2,0.2,6455.19,,
X3WR4,250,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),444.54,6433.31,444.54,28657,0.22,0.21,0.21,6433.31,,
BEBNL,251,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),441.2,6459.75,441.68,28432,0.21,0.2,0.21,6466.75,,
QWAGR,252,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),432.82,6209.75,432.82,30540,0.2,0.19,0.19,6209.75,,
2XHFH,253,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),412.58,5996.87,413.84,27682,0.19,0.19,0.19,6015.07,,
NCGFF,254,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),527.19,7939.66,527.23,35364,0.21,0.2,0.2,7940.15,,
WQ2QR,255,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),517.92,7859.11,517.92,36137,0.22,0.2,0.2,7859.22,,
FELB6,256,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),522.86,7982.55,522.86,36639,0.22,0.2,0.2,7982.55,,
XQCG2,257,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),533.42,7973.35,533.48,36027,0.22,0.2,0.2,7974.31,,
QUMN9,258,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),518.41,7807.39,518.62,36763,0.2,0.19,0.19,7810.56,,
3HAYB,259,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),430.69,6305.83,430.76,27053,0.23,0.22,0.22,6306.88,,
Z7F3G,260,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),429.77,6283.16,430.1,28127,0.21,0.2,0.21,6287.99,,
SS5QP,261,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),460.22,6767.87,460.23,28260,0.23,0.22,0.22,6768.06,,
RYLJJ,262,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),507.17,7592.42,507.22,23780,0.29,0.28,0.28,7593.08,,
83H7D,263,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),509.13,7598.94,509.21,24493,0.29,0.27,0.27,7600.09,,
LF2EB,264,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),515.25,7759.72,515.38,25112,0.27,0.26,0.26,7761.73,,
SLJDF,265,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),173.08,2465.49,181.75,16363,0.11,0.1,0.11,2589.04,,
GLFW2,266,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),200.03,2837.33,212.53,26414,0.1,0.09,0.1,3014.66,,
UPDH9,267,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),160.71,2329.15,169.88,21764,0.08,0.08,0.08,2462,,
TXXK5,268,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),182.59,2650.02,193.38,21501,0.1,0.1,0.1,2806.62,,
6CG3X,269,117,2019-10-30 00:00:00,Unnamed: 8,Unnamed: 12,Load Cell S/N (TVI122147), Units (LBS ),195.06,2806.62,205.88,13999,0.14,0.14,0.14,2962.35,,
AQXSY,273,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,508.09,6931.65,508.1,26364,0.29,0.27,0.27,6931.85,,
D8XRX,274,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,502.68,6885.98,502.71,26339,0.29,0.27,0.27,6886.43,,
KV8M4,275,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,499.51,6908.87,499.51,25256,0.46,0.28,0.28,6908.92,,
KWJ4E,276,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,495.52,6806.61,495.52,26422,0.41,0.27,0.27,6806.61,,
T7BMF,277,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,446.61,6151.59,446.61,21731,0.28,0.27,0.27,6151.59,,
658N3,278,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,431.02,5961.58,431.05,21678,0.26,0.25,0.25,5962.01,,
92PMX,279,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,446.18,6196.97,446.24,24072,0.26,0.25,0.26,6197.84,,
ZUZWK,280,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,438.57,6108.15,438.6,23396,0.27,0.26,0.26,6108.59,,
47JYF,281,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,437.18,6063.49,437.72,19904,0.28,0.27,0.27,6070.97,,
R2LMW,282,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,459.98,7022.6,459.98,25516,0.3,0.27,0.27,7022.6,,
242EP,283,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,458.93,6922.03,458.98,30322,0.27,0.25,0.25,6922.75,,
5ZZ7W,284,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,450.43,6835.03,450.45,28518,0.29,0.26,0.26,6835.34,,
AV6EU,285,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,462.42,7017.02,462.42,27585,0.3,0.26,0.26,7017.02,,
FS6B3,286,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,457.63,6923.29,457.71,27373,0.45,0.26,0.26,6924.51,,
57P4K,287,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,170.78,2450.18,177.33,16637,0.13,0.13,0.13,2544.12,,
8FRMK,288,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,190.46,2690.1,197.39,15174,0.15,0.14,0.15,2787.96,,
3B8X2,289,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,151.38,2171.86,158.27,17127,0.12,0.11,0.12,2270.66,,
GZC28,290,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,117.94,1697,125.37,26451,0.09,0.09,0.09,1803.92,,
GQAPL,291,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,139.23,1986.15,145.96,36215,0.09,0.09,0.09,2082.12,,
XT7E7,292,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,142.67,1998.22,149.4,23264,0.11,0.1,0.11,2092.46,,
LHEFM,293,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,155.71,2180.85,162.47,26607,0.11,0.1,0.11,2275.48,,
W39JP,294,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,131.13,1734.47,138.5,31095,0.08,0.07,0.08,1832.01,,
Z22EW,295,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,479.95,6638.29,479.99,24567,0.33,0.28,0.28,6638.82,,
EUTZM,296,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,483.55,6569.94,483.61,26761,0.35,0.27,0.27,6570.74,,
LCZDE,297,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,487.36,6750.19,487.42,27485,0.3,0.27,0.27,6750.97,,
7496Q,298,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,489.38,6750.09,489.43,25078,0.32,0.28,0.28,6750.72,,
P7XPF,299,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,474.04,6405.99,474.04,23855,0.42,0.28,0.28,6405.99,,
KN8BL,300,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,464.58,6425.71,464.64,24454,0.31,0.27,0.28,6426.6,,
3ULBL,301,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,454.95,6148.02,454.95,24333,0.34,0.27,0.27,6148.02,,
F945Q,302,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,475.35,6676.21,475.35,27599,0.37,0.27,0.27,6676.26,,
2TVKS,303,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,471.13,6489.46,471.13,25931,0.39,0.28,0.28,6489.46,,
RLUQU,304,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,476.96,6551.64,476.99,26750,0.3,0.27,0.27,6552.09,,
JVX5K,305,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,412.79,6052.7,412.81,24408,0.25,0.24,0.24,6052.94,,
XV5AZ,306,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,286.82,4218,296.2,33043,0.14,0.14,0.14,4355.95,,
W977V,307,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,381.63,5628.8,381.66,31410,0.22,0.21,0.21,5629.15,,
6T3QY,308,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,384.31,5643.35,384.53,26951,0.22,0.22,0.22,5646.53,,
5PH6P,309,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,396,5832.09,396.07,24279,0.24,0.23,0.23,5833.17,,
WCF7F,310,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,423.9,6403.32,424.66,23141,0.26,0.25,0.26,6414.76,,
3B43E,311,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,435.76,6542.96,436.45,23943,0.27,0.26,0.27,6553.36,,
WEJHD,312,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,438.77,6648.01,438.94,23234,0.28,0.27,0.28,6650.62,,
RSNL6,313,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,438.19,6189.09,438.47,21367,0.28,0.27,0.27,6193.05,,
GWP3B,314,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,421.36,6364.95,421.9,19963,0.28,0.27,0.27,6373.18,,
HJSTJ,315,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,439.58,6261.86,439.98,20743,0.29,0.28,0.28,6267.55,,
UDTY2,316,119,2019-11-07 00:00:00,Operator,MCPP PETg - Clear,269441 & 269636,442.95,6660.89,442.98,23374,0.29,0.28,0.28,6661.36,,
5DT2V,317,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,528.83,7448.33,529.38,34030,0.19,0.19,0.19,7456.05,,
RM7R8,318,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,521.57,7346.01,525.95,35901,0.19,0.18,0.19,7407.7,,
HGPHV,319,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,508.74,6874.8,515.57,36941,0.18,0.17,0.18,6967.21,,
GQHPT,320,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,504.73,6774.96,504.88,28679,0.21,0.2,0.21,6776.9,,
S8BCN,321,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,494.13,6677.38,496.61,29714,0.2,0.19,0.2,6710.89,,
X82CL,322,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,478.21,6614.26,486.46,30565,0.19,0.18,0.19,6728.38,,
8BFU2,323,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,566.07,8227.71,566.42,26788,0.26,0.25,0.25,8232.83,,
5QBY4,324,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,558.89,8243.15,558.98,26896,0.26,0.25,0.25,8244.61,,
XYR84,325,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,563.78,8088.6,563.78,25702,0.26,0.25,0.25,8088.6,,
V4Q9F,326,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,563.39,8224.66,563.56,28469,0.24,0.23,0.23,8227.22,,
8Z4XR,327,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,574.88,8479.01,575.02,27702,0.26,0.25,0.25,8481.12,,
Q9Y6B,328,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,573.93,8452.62,573.93,25982,0.28,0.27,0.27,8452.62,,
M9FPD,329,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,511.02,7258.87,511.06,29737,0.22,0.21,0.21,7259.36,,
J2NDE,330,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,523.17,7538.48,525.35,35309,0.2,0.19,0.2,7569.88,,
CG7U6,331,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,522.95,7293.59,522.95,33335,0.2,0.2,0.2,7293.59,,
LQAQW,332,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,531.53,7725.69,532.18,32077,0.21,0.21,0.21,7735.18,,
2TAP4,333,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,529.31,7497.31,529.79,35386,0.2,0.19,0.2,7504.08,,
8QP4N,334,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,535.21,7602.44,535.21,35529,0.21,0.2,0.2,7602.44,,
E27QU,335,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,443.76,7546.93,443.8,29729,0.22,0.22,0.22,7547.64,,
27XN4,336,120,2019-11-08 00:00:00,Operator,KVP Black PLA,3380188,433.94,7405.17,434.78,34285,0.2,0.19,0.19,7419.37,,
