SAWXX,408,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.533,0.132,44,14158,0.186,434551,,
7FDNF,409,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.533,0.132,45,14347,0.192,439636,,
HJ8K8,410,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.132,44,14115,0.189,400378,,
E9FYP,411,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.139,45,13001,0.199,370526,,
V7MNT,412,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.531,0.131,45,14760,0.185,443755,,
GYNSY,413,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.133,45,14341,0.2,419495,,
U4WDJ,414,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.531,0.132,44,14395,0.191,446300,,
T6ZWE,415,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.507,0.138,46,14144,0.556,431025,,
7DK44,416,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.508,0.138,46,14312,0.548,419868,,
ZT2T6,417,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.138,45,14197,0.553,413868,,
DWDSW,418,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.505,0.138,45,14012,0.547,437838,,
Q2JZ4,419,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.137,46,14321,0.549,434122,,
2WA6H,420,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.135,45,14465,0.551,424679,,
F6D85,421,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.512,0.139,42,12724,0.185,377628,,
CMBXA,422,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.513,0.135,42,13410,0.19,408289,,
KLT3B,423,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.514,0.14,42,12526,0.196,333009,,
C6HVM,424,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.517,0.133,34,11095,0.143,390253,,
GC46A,425,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.518,0.132,34,11177,0.136,382224,,
38B4E,426,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.132,34,11294,0.143,411422,,
3JRAQ,427,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.516,0.132,35,11643,0.144,390197,,
DYJ5D,428,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.129,36,12613,0.15,457860,,
N7ZJL,429,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.516,0.128,34,12195,0.137,451272,,
MJAPS,430,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.132,34,11410,0.148,426110,,
SWQT4,431,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.135,39,12608,0.259,394069,,
6BKKZ,432,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.13,39,13810,0.301,411605,,
AYF5J,433,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.505,0.129,38,13680,0.314,414122,,
7D8MM,434,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.129,38,13482,0.291,422606,,
B5X2R,435,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.503,0.129,38,13632,0.307,435196,,
6XD97,436,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.129,38,13518,0.269,411293,,
4WUBA,437,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.509,0.128,33,11750,0.144,405916,,
99PZE,438,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.509,0.132,33,11398,0.15,392087,,
VR8AQ,439,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.508,0.129,34,12099,0.152,420449,,
SAWXX,408,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.533,0.132,44,14158,0.186,434551,,
7FDNF,409,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.533,0.132,45,14347,0.192,439636,,
HJ8K8,410,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.132,44,14115,0.189,400378,,
E9FYP,411,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.139,45,13001,0.199,370526,,
V7MNT,412,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.531,0.131,45,14760,0.185,443755,,
GYNSY,413,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.133,45,14341,0.2,419495,,
U4WDJ,414,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.531,0.132,44,14395,0.191,446300,,
T6ZWE,415,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.507,0.138,46,14144,0.556,431025,,
7DK44,416,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.508,0.138,46,14312,0.548,419868,,
ZT2T6,417,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.138,45,14197,0.553,413868,,
DWDSW,418,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.505,0.138,45,14012,0.547,437838,,
Q2JZ4,419,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.137,46,14321,0.549,434122,,
2WA6H,420,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.135,45,14465,0.551,424679,,
F6D85,421,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.512,0.139,42,12724,0.185,377628,,
CMBXA,422,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.513,0.135,42,13410,0.19,408289,,
KLT3B,423,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.514,0.14,42,12526,0.196,333009,,
C6HVM,424,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.517,0.133,34,11095,0.143,390253,,
GC46A,425,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.518,0.132,34,11177,0.136,382224,,
38B4E,426,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.132,34,11294,0.143,411422,,
3JRAQ,427,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.516,0.132,35,11643,0.144,390197,,
DYJ5D,428,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.129,36,12613,0.15,457860,,
N7ZJL,429,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.516,0.128,34,12195,0.137,451272,,
MJAPS,430,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.132,34,11410,0.148,426110,,
SWQT4,431,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.135,39,12608,0.259,394069,,
6BKKZ,432,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.13,39,13810,0.301,411605,,
AYF5J,433,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.505,0.129,38,13680,0.314,414122,,
7D8MM,434,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.129,38,13482,0.291,422606,,
B5X2R,435,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.503,0.129,38,13632,0.307,435196,,
6XD97,436,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.129,38,13518,0.269,411293,,
4WUBA,437,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.509,0.128,33,11750,0.144,405916,,
99PZE,438,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.509,0.132,33,11398,0.15,392087,,
VR8AQ,439,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.508,0.129,34,12099,0.152,420449,,
SAWXX,408,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.533,0.132,44,14158,0.186,434551,,
7FDNF,409,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.533,0.132,45,14347,0.192,439636,,
HJ8K8,410,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.132,44,14115,0.189,400378,,
E9FYP,411,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.139,45,13001,0.199,370526,,
V7MNT,412,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.531,0.131,45,14760,0.185,443755,,
GYNSY,413,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.532,0.133,45,14341,0.2,419495,,
U4WDJ,414,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.531,0.132,44,14395,0.191,446300,,
T6ZWE,415,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.507,0.138,46,14144,0.556,431025,,
7DK44,416,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.508,0.138,46,14312,0.548,419868,,
ZT2T6,417,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.138,45,14197,0.553,413868,,
DWDSW,418,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.505,0.138,45,14012,0.547,437838,,
Q2JZ4,419,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.137,46,14321,0.549,434122,,
2WA6H,420,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.506,0.135,45,14465,0.551,424679,,
F6D85,421,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.512,0.139,42,12724,0.185,377628,,
CMBXA,422,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.513,0.135,42,13410,0.19,408289,,
KLT3B,423,127,2019-11-13 00:00:00,Taylor,KVP PLA_Red,14932,0.514,0.14,42,12526,0.196,333009,,
C6HVM,424,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.517,0.133,34,11095,0.143,390253,,
GC46A,425,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.518,0.132,34,11177,0.136,382224,,
38B4E,426,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.132,34,11294,0.143,411422,,
3JRAQ,427,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.516,0.132,35,11643,0.144,390197,,
DYJ5D,428,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.129,36,12613,0.15,457860,,
N7ZJL,429,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.516,0.128,34,12195,0.137,451272,,
MJAPS,430,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.515,0.132,34,11410,0.148,426110,,
SWQT4,431,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.135,39,12608,0.259,394069,,
6BKKZ,432,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.13,39,13810,0.301,411605,,
AYF5J,433,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.505,0.129,38,13680,0.314,414122,,
7D8MM,434,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.129,38,13482,0.291,422606,,
B5X2R,435,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.503,0.129,38,13632,0.307,435196,,
6XD97,436,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.504,0.129,38,13518,0.269,411293,,
4WUBA,437,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.509,0.128,33,11750,0.144,405916,,
99PZE,438,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.509,0.132,33,11398,0.15,392087,,
VR8AQ,439,128,2019-11-13 00:00:00,Taylor,KVP PLA_Gold,12215,0.508,0.129,34,12099,0.152,420449,,
UHT2X,440,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.516,0.126,26,9660,0.546,217819,,
D5FWP,441,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.516,0.125,28,10207,0.54,255000,,
ZSWJ6,442,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.518,0.13,23,7688,0.527,183094,irregular bottom surface ,
CLKBV,443,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.507,0.129,28,10162,0.541,239782,,
GWUBA,444,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.506,0.129,29,10143,0.54,235268,,
38J4P,445,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.506,0.131,29,9891,0.541,264372,,
2KTCE,446,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.504,0.131,28,9850,0.535,242456,,
3T3QZ,447,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.505,0.131,29,9990,0.543,249996,,
NJBYA,448,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.507,0.129,28,9961,0.542,255308,,
WEYNR,449,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.507,0.13,28,9875,0.541,242311,,
HBRGT,450,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.507,0.13,28,9873,0.539,241732,,
2AWWA,451,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.503,0.13,18,6516,0.248,144927,,
6G59M,452,129,2019-11-20 00:00:00,Taylor,KVP PETg_Maroon,12865,0.5,0.128,21,7590,0.498,191808,,
T5J73,453,130,2019-11-21 00:00:00,Taylor,KVP PLA_Red,14932,0.508,0.135,27,8770,0.09,376395,,
2J46A,454,130,2019-11-21 00:00:00,Taylor,KVP PLA_Red,14932,0.51,0.135,31,10136,0.117,367164,,
VRCN4,455,130,2019-11-21 00:00:00,Taylor,KVP PLA_Red,14932,0.509,0.137,28,8839,0.093,349144,,
