Specimen ID,Test #,Report #,Test Date,Operator,Material,Batch #,Yield (N),Yield Str. (MPa),Tensile (N),Modulus of Elasticity (MPa),Break Elong [mm],Yield Elong.  [mm],Tensile Elong [mm],Tensile Str. (MPa),Comments
SVA7P,500,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,2048.2,45.49,2048.35,6.17,6.23,5.72,5.73,45.49,,
5ZB92,501,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,2033.12,45.39,2033.12,5.65,6.59,6.06,6.06,45.39,,
Y35ZN,502,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1615.57,39.13,1615.69,5.55,5.25,5.07,5.08,39.14,broke near neck ,
MT5RQ,503,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1824.32,44.06,1824.52,4.51,6.72,6.51,6.52,44.06,,
7QRW3,504,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1703.3,41.46,1703.32,5.25,6.3,5.67,5.66,41.46,,
NDVJD,505,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1644.08,39.86,1644.17,5.15,5.65,5.42,5.42,39.87,broke near neck ,
5UDTM,506,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1876.67,44.91,1876.87,6.31,6.49,5.68,5.71,44.91,broke near neck ,
BQ5JH,507,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1885.07,44.85,1885.09,6.66,6.47,5.39,5.39,44.85,,
GB6B6,508,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1878.77,44.26,1878.81,6.65,6.8,5.42,5.45,44.26,,
TK44D,509,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1935.38,46.03,1935.53,5.26,6.98,6.04,6.05,46.04,,
YGE26,510,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1931.43,46.2,1931.61,4.77,6.67,6.36,6.38,46.2,broke at neck ,
ABLPV,511,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1851.96,44.2,1852.02,5.72,6.05,5.81,5.83,44.2,near neck ,
YH7UF,512,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1868.42,44.59,1868.42,7.48,7.72,5.3,5.3,44.59,,
CYM6B,513,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1856.33,43.9,1856.45,6.86,6.93,5.25,5.26,43.9,,
4ZP7F,514,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1795.36,42.54,1795.51,7.13,8.13,5.19,5.2,42.54,,
9SDQA,515,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1286.14,30.84,1286.15,13.45,5.05,3.34,3.34,30.84,,
7FC58,516,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1292.99,31.37,1293.09,11.04,4.36,3.49,3.5,31.37,,
CTHH4,517,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1281.91,31.34,1281.91,8.42,4.21,3.57,3.57,31.34,,
UM5P7,518,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1301.14,29.8,1301.14,6.33,4.79,4.58,4.58,29.8,,
7QNFQ,519,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1329.44,31.93,1329.47,8.57,5.07,4.53,4.54,31.94,,
3MM2N,520,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1355.44,32.44,1355.72,8.05,4.7,4.47,4.48,32.45,,
TA2QF,521,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1361.4,31.62,1361.4,5.84,5.28,4.93,4.93,31.62,,
UV24P,522,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1350.37,31.98,1350.45,5.98,4.76,4.65,4.65,31.98,,
3F6SD,523,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1392.64,32.6,1392.7,6.21,5.25,4.74,4.73,32.6,,
EM23R,524,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1356.6,31.68,1356.68,5.19,4.93,4.81,4.81,31.68,,
RYNPT,525,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1361.07,32.56,1361.14,6.63,5.39,4.62,4.63,32.57,,
EPDBW,526,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,568.44,12.75,575.9,5.34,3.35,3.3,3.35,12.92,,
RX958,527,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,592.3,13.44,603.06,6.58,3.22,3.16,3.22,13.68,,
8JZYJ,528,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,814.3,18.75,815.97,8.31,4.14,4.09,4.14,18.79,,
FU7SL,529,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,766.59,17.25,768.91,4.88,4.04,3.99,4.04,17.3,,
SHG63,530,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1514.88,34.51,1514.98,5.79,5.47,5.3,5.3,34.51,,
LPSX2,531,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1489.95,33.03,1490.08,4.76,5.61,5.4,5.41,33.03,,
BGTTP,532,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1499.65,33.31,1499.65,4.62,5.62,5.39,5.39,33.31,,
LEHVN,533,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1482.29,32.74,1482.47,4.25,5.86,5.67,5.68,32.74,,
3R7ES,534,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1495.23,33.33,1495.73,6.01,5.39,5.21,5.23,33.34,,
WVVY8,535,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1303.05,30.54,1303.17,4.88,6.07,4.89,4.9,30.54,,
DM9UV,536,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1320.15,30.99,1320.46,5.14,5.78,4.87,4.88,30.99,,
XP6LC,537,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1310.39,30.88,1310.44,5.67,5.27,4.82,4.84,30.88,,
R9RCA,538,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2253.13,52.64,2253.97,6.49,5.56,5.5,5.52,52.66,,
VQA68,539,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2311.73,52.13,2312.04,7.24,5.49,5.41,5.42,52.14,,
QYHX5,540,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2238.07,49.59,2239.95,7.21,4.96,4.9,4.93,49.63,,
2XKUH,541,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2190,48.48,2199.67,5.82,5.8,5.76,5.8,48.7,,
XT45Q,542,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2357.16,55.07,2357.16,7.84,5.81,5.41,5.41,55.07,,
7LJD2,543,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2352.42,54.66,2352.6,9.45,4.97,4.91,4.91,54.67,,
4ZRMA,544,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2366.08,54.85,2367.9,8.39,5.19,5.13,5.16,54.89,,
SR799,545,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2170.45,48.97,2177.36,6.62,5.09,5.04,5.09,49.12,,
Q5UA3,546,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2479.41,54.73,2480,5.81,6.38,6.31,6.34,54.74,,
DZUND,547,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2347.72,51.55,2361.28,5.72,5.79,5.74,5.79,51.85,,
KSQ2X,548,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2378.99,53.1,2380.35,6.36,5.81,5.75,5.77,53.13,,
MBLDU,549,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2244.1,50.13,2256.63,6.33,5.35,5.32,5.35,50.41,,
3XBMU,550,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2312.71,51.5,2324.04,7.13,5.26,5.2,5.26,51.75,,
FTV9M,552,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1745.66,39.47,1756.42,7.98,4.28,4.22,4.28,39.72,,
ED6UB,553,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1791.4,40.58,1793.69,7.3,4.73,4.68,4.73,40.63,,
JDJSA,554,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1756.76,39.48,1771.55,8.36,4.34,4.29,4.34,39.81,,
XXZXW,555,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2464.78,56.33,2464.78,9.89,6.55,5.6,5.6,56.33,,
WV3YY,556,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2435.02,56.27,2435.22,8.1,6.52,5.87,5.86,56.28,,
8ZBE9,557,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2475.06,57.08,2475.06,8.33,6.95,5.93,5.93,57.08,,
H4RLF,558,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2343.8,53.97,2362.4,8,5.26,5.2,5.26,54.4,,
REGZL,559,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2430.87,56.09,2446.5,7.07,5.57,5.51,5.57,56.45,,
5A3BQ,560,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2363.6,54.59,2381.83,7.04,5.56,5.49,5.56,55.01,,
QYZNJ,561,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2346.19,53.33,2362.47,7.13,5.32,5.28,5.32,53.7,,
PNPHX,562,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2407.7,55.46,2429.22,7.2,5.44,5.38,5.44,55.96,,
RXGQC,563,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2445.49,55.32,2459.91,6.66,5.78,5.74,5.78,55.65,,
SVA7P,500,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,2048.2,45.49,2048.35,6.17,6.23,5.72,5.73,45.49,,
5ZB92,501,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,2033.12,45.39,2033.12,5.65,6.59,6.06,6.06,45.39,,
Y35ZN,502,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1615.57,39.13,1615.69,5.55,5.25,5.07,5.08,39.14,broke near neck ,
MT5RQ,503,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1824.32,44.06,1824.52,4.51,6.72,6.51,6.52,44.06,,
7QRW3,504,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1703.3,41.46,1703.32,5.25,6.3,5.67,5.66,41.46,,
NDVJD,505,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1644.08,39.86,1644.17,5.15,5.65,5.42,5.42,39.87,broke near neck ,
5UDTM,506,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1876.67,44.91,1876.87,6.31,6.49,5.68,5.71,44.91,broke near neck ,
BQ5JH,507,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1885.07,44.85,1885.09,6.66,6.47,5.39,5.39,44.85,,
GB6B6,508,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1878.77,44.26,1878.81,6.65,6.8,5.42,5.45,44.26,,
TK44D,509,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1935.38,46.03,1935.53,5.26,6.98,6.04,6.05,46.04,,
YGE26,510,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1931.43,46.2,1931.61,4.77,6.67,6.36,6.38,46.2,broke at neck ,
ABLPV,511,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1851.96,44.2,1852.02,5.72,6.05,5.81,5.83,44.2,near neck ,
YH7UF,512,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1868.42,44.59,1868.42,7.48,7.72,5.3,5.3,44.59,,
CYM6B,513,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1856.33,43.9,1856.45,6.86,6.93,5.25,5.26,43.9,,
4ZP7F,514,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1795.36,42.54,1795.51,7.13,8.13,5.19,5.2,42.54,,
9SDQA,515,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1286.14,30.84,1286.15,13.45,5.05,3.34,3.34,30.84,,
7FC58,516,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1292.99,31.37,1293.09,11.04,4.36,3.49,3.5,31.37,,
CTHH4,517,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1281.91,31.34,1281.91,8.42,4.21,3.57,3.57,31.34,,
UM5P7,518,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1301.14,29.8,1301.14,6.33,4.79,4.58,4.58,29.8,,
7QNFQ,519,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1329.44,31.93,1329.47,8.57,5.07,4.53,4.54,31.94,,
3MM2N,520,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1355.44,32.44,1355.72,8.05,4.7,4.47,4.48,32.45,,
TA2QF,521,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1361.4,31.62,1361.4,5.84,5.28,4.93,4.93,31.62,,
UV24P,522,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1350.37,31.98,1350.45,5.98,4.76,4.65,4.65,31.98,,
3F6SD,523,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1392.64,32.6,1392.7,6.21,5.25,4.74,4.73,32.6,,
EM23R,524,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1356.6,31.68,1356.68,5.19,4.93,4.81,4.81,31.68,,
RYNPT,525,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1361.07,32.56,1361.14,6.63,5.39,4.62,4.63,32.57,,
EPDBW,526,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,568.44,12.75,575.9,5.34,3.35,3.3,3.35,12.92,,
RX958,527,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,592.3,13.44,603.06,6.58,3.22,3.16,3.22,13.68,,
8JZYJ,528,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,814.3,18.75,815.97,8.31,4.14,4.09,4.14,18.79,,
FU7SL,529,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,766.59,17.25,768.91,4.88,4.04,3.99,4.04,17.3,,
SHG63,530,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1514.88,34.51,1514.98,5.79,5.47,5.3,5.3,34.51,,
LPSX2,531,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1489.95,33.03,1490.08,4.76,5.61,5.4,5.41,33.03,,
BGTTP,532,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1499.65,33.31,1499.65,4.62,5.62,5.39,5.39,33.31,,
LEHVN,533,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1482.29,32.74,1482.47,4.25,5.86,5.67,5.68,32.74,,
3R7ES,534,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1495.23,33.33,1495.73,6.01,5.39,5.21,5.23,33.34,,
WVVY8,535,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1303.05,30.54,1303.17,4.88,6.07,4.89,4.9,30.54,,
DM9UV,536,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1320.15,30.99,1320.46,5.14,5.78,4.87,4.88,30.99,,
XP6LC,537,139,2019-12-09 00:00:00,Taylor,KVP ABS_Orange,5-17-0919,1310.39,30.88,1310.44,5.67,5.27,4.82,4.84,30.88,,
R9RCA,538,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2253.13,52.64,2253.97,6.49,5.56,5.5,5.52,52.66,,
VQA68,539,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2311.73,52.13,2312.04,7.24,5.49,5.41,5.42,52.14,,
QYHX5,540,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2238.07,49.59,2239.95,7.21,4.96,4.9,4.93,49.63,,
2XKUH,541,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2190,48.48,2199.67,5.82,5.8,5.76,5.8,48.7,,
XT45Q,542,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2357.16,55.07,2357.16,7.84,5.81,5.41,5.41,55.07,,
7LJD2,543,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2352.42,54.66,2352.6,9.45,4.97,4.91,4.91,54.67,,
4ZRMA,544,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2366.08,54.85,2367.9,8.39,5.19,5.13,5.16,54.89,,
SR799,545,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2170.45,48.97,2177.36,6.62,5.09,5.04,5.09,49.12,,
Q5UA3,546,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2479.41,54.73,2480,5.81,6.38,6.31,6.34,54.74,,
DZUND,547,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2347.72,51.55,2361.28,5.72,5.79,5.74,5.79,51.85,,
KSQ2X,548,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2378.99,53.1,2380.35,6.36,5.81,5.75,5.77,53.13,,
MBLDU,549,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2244.1,50.13,2256.63,6.33,5.35,5.32,5.35,50.41,,
3XBMU,550,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,2312.71,51.5,2324.04,7.13,5.26,5.2,5.26,51.75,,
FTV9M,552,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1745.66,39.47,1756.42,7.98,4.28,4.22,4.28,39.72,,
ED6UB,553,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1791.4,40.58,1793.69,7.3,4.73,4.68,4.73,40.63,,
JDJSA,554,140,2019-12-09 00:00:00,Taylor,Breathe PLA_Silver,5451821,1756.76,39.48,1771.55,8.36,4.34,4.29,4.34,39.81,,
XXZXW,555,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2464.78,56.33,2464.78,9.89,6.55,5.6,5.6,56.33,,
WV3YY,556,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2435.02,56.27,2435.22,8.1,6.52,5.87,5.86,56.28,,
8ZBE9,557,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2475.06,57.08,2475.06,8.33,6.95,5.93,5.93,57.08,,
H4RLF,558,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2343.8,53.97,2362.4,8,5.26,5.2,5.26,54.4,,
REGZL,559,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2430.87,56.09,2446.5,7.07,5.57,5.51,5.57,56.45,,
5A3BQ,560,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2363.6,54.59,2381.83,7.04,5.56,5.49,5.56,55.01,,
QYZNJ,561,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2346.19,53.33,2362.47,7.13,5.32,5.28,5.32,53.7,,
PNPHX,562,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2407.7,55.46,2429.22,7.2,5.44,5.38,5.44,55.96,,
RXGQC,563,141,2019-12-09 00:00:00,Taylor,Breathe PLA_Natural,non-4043D,2445.49,55.32,2459.91,6.66,5.78,5.74,5.78,55.65,,
